ORIGIN,AIRPORT,WEATHER_NULL_RATIO,PASSENGERS,FREIGHT_TONS
EUG,Mahlon Sweet Field,0.071026,609462,200
HSV,Huntsville International-Carl T Jones Field,0.081075,596230,9589
LEX,Blue Grass,0.095589,571613,8
CID,Cedar Rapids Municipal,0.126477,567354,14573
MAF,Midland Regional Air Trml,0.145478,564253,494
EYW,Key West International,0.06069,546533,90
MDT,Harrisburg International,0.100896,537325,20395
SGF,Springfield-Branson National,0.086174,524917,4661
ITO,Hilo International,0.153091,514176,5985
FSD,Joe Foss Field,0.147457,514107,22176
SBA,Santa Barbara Municipal,0.027089,508909,83
BTV,Burlington International,0.130546,488273,1139
CAE,Columbia Metropolitan,0.055447,477629,14075
DAY,James M Cox/Dayton International,0.102566,461513,2663
JAN,Allen C Thompson Field,0.055658,458555,2464
MFE,McAllen Miller International,0.101918,451826,2905
HRL,Valley International,0.068824,446035,8613
HVN,Tweed New Haven,0.053996,419332,0
FAI,Fairbanks International,0.147192,417745,3197
LBB,Lubbock Regional,0.208174,411634,8121
FCA,Glacier Park International,0.144003,410989,393
FAR,Hector International,0.160241,407340,13911
CHA,Lovell Field,0.075949,404524,4031
MSO,Missoula International,0.117165,394221,363
ACY,Atlantic City International,0.062173,383601,6
MFR,Medford Jackson County,0.085912,374042,584
TLH,Tallahassee Regional,0.067034,341247,2938
BIL,Billings Logan International,0.117462,341019,11326
PSC,Tri Cities,0.07722,340182,263
ABE,Lehigh Valley International,0.101911,335528,43656
SBN,Michiana Regional,0.118988,325171,3295
GPT,Gulfport-Biloxi International,0.050721,315114,114
RAP,Rapid City Regional,0.115779,313830,262
TVC,Cherry Capital,0.14025,311438,13
FWA,Fort Wayne Municipal,0.150838,309508,6446
AMA,Amarillo International,0.224734,296842,19
CAK,Akron-Canton Regional,0.141724,291110,20
ASE,Aspen Pitkin County Sardy Field,0.163106,281669,0
BGR,Bangor International,0.125287,279086,1134
ROA,Roanoke Regional/Woodrum Field,0.104714,278343,3671
RFD,Chicago/Rockford International,0.065967,99539,162750
